Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,litter_type_quality_tree_1,litter_type_quality_tree_2,quality_N,mesh_size,total_mass_g,sample_plot,plot,harvest,handling_loss_bags,handling_loss,initial_mass_g,Time_at_harvest,final_mass_g
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,6,5.002,5.001,NA,2 mm,10.003,R6,plot2,harvest2,NA,-0.07,9.933,60,4.993
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,7,5.003,4.997,NA,2 mm,10,R7,plot2,harvest3,NA,-0.07,9.93,220,6.17
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,8,5,4.998,NA,2 mm,9.998,R8,plot2,harvest4,NA,-0.07,9.928,365,3.199
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,9,5,5.007,NA,2 mm,10.007,R9,plot3,harvest1,NA,-0.07,9.937,30,8.576
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,10,4.997,5.003,NA,2 mm,10,R10,plot3,harvest2,NA,-0.07,9.93,60,7.834
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,11,5,5.005,NA,2 mm,10.005,R11,plot3,harvest3,NA,-0.07,9.935,220,7.03
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,12,5,5.005,NA,2 mm,10.005,R12,plot3,harvest4,NA,-0.07,9.935,365,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,13,5,5,NA,2 mm,10,,,,9.92,-0.07,9.93,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,14,5,5,NA,2 mm,10,,,,10,-0.07,9.93,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,15,5,5,NA,2 mm,10,,,,9.87,-0.07,9.93,,NA
